酒店名称,酒店地址
长联农家乐(杭州友爱路商贸路口店),浙江省杭州市江干区辉埠镇路里坑村东山脚11号
黎明青年公寓,浙江省杭州市萧山区商贸街329-2号
商贸公寓-10号楼,浙江省杭州市萧山区商贸公寓东区
商贸公寓-22号楼,浙江省杭州市萧山区商贸公寓22号楼(利源路北)
杭州知寓公寓,浙江省杭州江干区银沙商贸城
品江生活超市,杭州市江干区下沙街道学源街239号(浙江经贸学院北门)品江商务酒店内
安怡客公寓,浙江省杭州市萧山区商贸街2附近
商贸公寓-13号楼,浙江省杭州市萧山区商贸公寓
商贸公寓-30号楼,浙江省杭州市萧山区商贸公寓30号楼(瓜渔线东70米)
萧山区靖江街道黎明社区互联网+旅馆氏出租房管理总台,浙江省杭州市萧山区商贸街227西北100米
